"No.","Time","Source","Destination","Protocol","Length","Info"
"883","22.650638","213.57.24.219","10.0.2.15","TLSv1.2","633","Application Data"
"899","22.656334","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"913","22.660853","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"919","22.662535","213.57.24.219","10.0.2.15","TLSv1.2","5894","Application Data [TCP segment of a reassembled PDU]"
"922","22.667855","213.57.24.219","10.0.2.15","TLSv1.2","8814","Application Data [TCP segment of a reassembled PDU]"
"924","22.667883","213.57.24.219","10.0.2.15","TLSv1.2","8814","Application Data [TCP segment of a reassembled PDU]"
"931","22.669570","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"943","22.673135","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"953","22.677569","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"959","22.678685","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"967","22.680192","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"975","22.683809","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"985","22.685736","213.57.24.219","10.0.2.15","TLSv1.2","2310","Application Data"
"989","24.648646","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"991","24.722132","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1001","27.733257","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1003","27.803992","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1007","30.810275","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1009","30.880628","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1011","30.882254","10.0.2.15","35.186.224.40","TLSv1.2","97","Application Data"
"1013","30.959793","35.186.224.40","10.0.2.15","TLSv1.2","94","Application Data"
"1020","32.716623","10.0.2.15","213.57.24.219","TLSv1.2","847","Application Data"
"1023","32.730308","213.57.24.219","10.0.2.15","TLSv1.2","633","Application Data"
"1037","32.734964","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1049","32.738451","213.57.24.219","10.0.2.15","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1053","32.739577","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1064","32.742229","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1075","32.744892","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1081","32.746087","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1085","32.749506","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1096","32.752070","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1102","32.753986","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1115","32.756823","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1122","32.760110","213.57.24.219","10.0.2.15","TLSv1.2","4434","Application Data [TCP segment of a reassembled PDU]"
"1129","32.761430","213.57.24.219","10.0.2.15","TLSv1.2","2293","Application Data"
"1131","32.778940","146.75.122.248","10.0.2.15","TLSv1.2","85","Encrypted Alert"
"1136","33.220908","10.0.2.15","149.154.167.99","TLSv1.2","509","Application Data"
"1138","33.324677","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"1140","33.981344","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1142","34.053026","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1159","34.641517","10.0.2.15","20.189.172.32","TLSv1.2","449","Client Hello"
"1163","34.644726","10.0.2.15","20.189.172.32","TLSv1.2","449","Client Hello"
"1168","34.783552","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1171","34.783951","35.186.224.40","10.0.2.15","TLSv1.2","1142","Application Data"
"1173","34.789527","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1175","34.790006","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1177","34.790693","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1179","34.792434","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1181","34.793501","35.186.224.40","10.0.2.15","TLSv1.2","2994","Application Data, Application Data, Application Data"
"1183","34.793625","35.186.224.40","10.0.2.15","TLSv1.2","2392","Application Data, Application Data"
"1185","34.794774","35.186.224.40","10.0.2.15","TLSv1.2","1304","Application Data"
"1188","34.808239","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1190","34.808775","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1192","34.808857","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1194","34.809703","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1196","34.811265","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1198","34.811543","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1200","34.812264","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1202","34.812640","35.186.224.40","10.0.2.15","TLSv1.2","2878","Application Data, Application Data"
"1204","34.812938","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1206","34.813887","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"1207","34.814384","35.186.224.40","10.0.2.15","TLSv1.2","1459","Application Data"
"1213","34.867974","20.189.172.32","10.0.2.15","TLSv1.2","60","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"1215","34.870949","10.0.2.15","20.189.172.32","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1221","34.872531","20.189.172.32","10.0.2.15","TLSv1.2","60","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"1223","34.874918","10.0.2.15","20.189.172.32","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1225","35.093597","20.189.172.32","10.0.2.15","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"1226","35.094182","10.0.2.15","20.189.172.32","TLSv1.2","285","Application Data"
"1228","35.098159","20.189.172.32","10.0.2.15","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"1229","35.098610","10.0.2.15","20.189.172.32","TLSv1.2","285","Application Data"
"1231","35.317010","20.189.172.32","10.0.2.15","TLSv1.2","449","Application Data"
"1232","35.317122","20.189.172.32","10.0.2.15","TLSv1.2","88","Application Data"
"1235","35.317633","10.0.2.15","20.189.172.32","TLSv1.2","85","Encrypted Alert"
"1239","35.318913","20.189.172.32","10.0.2.15","TLSv1.2","449","Application Data"
"1240","35.319867","20.189.172.32","10.0.2.15","TLSv1.2","88","Application Data"
"1243","35.320075","10.0.2.15","20.189.172.32","TLSv1.2","85","Encrypted Alert"
"1253","37.061130","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1255","37.137392","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1259","40.163328","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1261","40.246523","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1274","42.547808","10.0.2.15","213.57.24.219","TLSv1.2","847","Application Data"
"1276","42.561869","213.57.24.219","10.0.2.15","TLSv1.2","633","Application Data"
"1292","42.566622","213.57.24.219","10.0.2.15","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1298","42.570280","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1302","42.570993","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
