"No.","Time","Source","Destination","Protocol","Length","Info"
"1729","183.507060","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=40935 Ack=58353 Win=65535 Len=0"
"1730","183.611466","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1731","183.611876","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=58353 Ack=41134 Win=65535 Len=0"
"1732","183.723023","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1733","183.723052","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41134 Ack=58466 Win=65535 Len=0"
"1734","183.726494","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1735","183.726815","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=58466 Ack=41333 Win=65535 Len=0"
"1736","183.845087","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1737","183.886697","10.0.2.15","149.154.167.99","TLSv1.3","93","Application Data"
"1738","183.886880","10.0.2.15","149.154.167.99","TLSv1.3","78","Application Data"
"1739","183.886895","10.0.2.15","149.154.167.99","TCP","54","50546  >  443 [FIN, ACK] Seq=1101 Ack=691 Win=63986 Len=0"
"1740","183.887008","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41333 Ack=58869 Win=65535 Len=0"
"1741","183.887051","149.154.167.99","10.0.2.15","TCP","60","443  >  50546 [ACK] Seq=691 Ack=1077 Win=65535 Len=0"
"1742","183.887051","149.154.167.99","10.0.2.15","TCP","60","443  >  50546 [ACK] Seq=691 Ack=1101 Win=65535 Len=0"
"1743","183.887051","149.154.167.99","10.0.2.15","TCP","60","443  >  50546 [ACK] Seq=691 Ack=1102 Win=65535 Len=0"
"1744","183.972262","149.154.167.99","10.0.2.15","TCP","60","443  >  50546 [FIN, ACK] Seq=691 Ack=1102 Win=65535 Len=0"
"1745","183.972296","10.0.2.15","149.154.167.99","TCP","54","50546  >  443 [ACK] Seq=1102 Ack=692 Win=63986 Len=0"
"1748","184.134274","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1749","184.134663","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=58869 Ack=41532 Win=65535 Len=0"
"1750","184.149590","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1751","184.149623","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41532 Ack=59208 Win=65535 Len=0"
"1752","184.288870","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1753","184.288910","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41532 Ack=59353 Win=65535 Len=0"
"1754","184.398402","34.117.65.55","10.0.2.15","TLSv1.2","961","Application Data"
"1755","184.404863","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1756","184.405245","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=40246 Ack=15165 Win=65535 Len=0"
"1757","184.941017","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1758","184.941848","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=59353 Ack=41731 Win=65535 Len=0"
"1759","185.084526","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1760","185.084602","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41731 Ack=59466 Win=65535 Len=0"
"1761","185.154414","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1762","185.154894","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=59466 Ack=41930 Win=65535 Len=0"
"1763","185.384341","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
"1764","185.384414","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=41930 Ack=59885 Win=65535 Len=0"
