"No.","Time","Source","Destination","Protocol","Length","Info"
"1256","13.563275","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1342","14.234111","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","273","Application Data"
"1350","14.346286","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1351","14.348305","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","273","Application Data"
"1358","14.465021","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","493","Application Data"
"1361","14.492235","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","305","Application Data"
"1379","14.740045","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","445","Application Data"
"1499","15.403777","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","545","Application Data"
"1503","15.451601","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","207","Application Data"
"1520","15.519012","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","253","Application Data"
"1524","15.554148","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1527","15.556654","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","289","Application Data"
"1534","15.618669","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","191","Application Data"
"1536","15.675596","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","509","Application Data"
"1537","15.676944","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","191","Application Data"
"1538","15.715364","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1540","15.808199","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1550","16.102649","162.159.136.234","10.0.0.3","TLSv1.2","98","Application Data"
"1568","16.452786","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","289","Application Data"
"1578","16.565045","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1579","16.567240","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","273","Application Data"
"1601","16.678381","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1602","16.680210","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","273","Application Data"
"1610","16.832684","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1615","16.884357","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.2","241","Application Data"
"1620","16.993774","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.2","187","Application Data"
"1639","17.119249","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2a00:1450:4028:800::200a","QUIC","1292","Initial, DCID=2b32daab7ab49f6c, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PADDING, PING, PING"
"1645","17.192040","2a00:1450:4028:800::200a","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","QUIC","1292","Protected Payload (KP0)"
"1710","17.805867","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","711","Client Hello"
"1711","17.823214","10.0.0.3","34.117.201.170","QUIC","1292","Initial, DCID=a00e60d347c6769a, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"1723","17.887628","10.0.0.3","34.117.201.170","TLSv1.3","654","Client Hello"
"1724","17.898084","34.117.201.170","10.0.0.3","QUIC","1292","Protected Payload (KP0)"
"1730","17.904075","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.3","334","Server Hello, Change Cipher Spec, Application Data, Application Data"
"1738","17.958782","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","154","Change Cipher Spec, Application Data"
"1740","17.959939","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","650","Application Data"
"1741","17.962215","34.117.201.170","10.0.0.3","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"1742","17.962968","10.0.0.3","34.117.201.170","TLSv1.3","118","Change Cipher Spec, Application Data"
