"No.","Time","Source","Destination","Protocol","Length","Info"
"1169","96.094711","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=24684 Ack=17923 Win=65535 Len=0"
"1174","96.188635","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1175","96.231352","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17923 Ack=25087 Win=65535 Len=0"
"1176","96.291708","149.154.167.99","10.0.2.15","TLSv1.2","377","Application Data"
"1177","96.291739","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=17923 Ack=25410 Win=65535 Len=0"
"1180","96.495439","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1181","96.495818","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=25410 Ack=18138 Win=65535 Len=0"
"1185","96.589653","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1186","96.589693","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18138 Ack=25555 Win=65535 Len=0"
"1187","97.063131","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1188","97.063583","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=25555 Ack=18337 Win=65535 Len=0"
"1189","97.194232","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1190","97.194260","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18337 Ack=25668 Win=65535 Len=0"
"1191","97.197007","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1192","97.197398","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=25668 Ack=18536 Win=65535 Len=0"
"1195","97.351045","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1196","97.392053","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18536 Ack=26071 Win=65535 Len=0"
"1199","97.422732","149.154.167.99","10.0.2.15","TLSv1.2","377","Application Data"
"1200","97.422778","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18536 Ack=26394 Win=65535 Len=0"
"1201","97.593150","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1202","97.593666","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=26394 Ack=18751 Win=65535 Len=0"
"1203","97.696962","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1204","97.696994","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18751 Ack=26539 Win=65535 Len=0"
"1208","98.195049","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1209","98.195306","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=26539 Ack=18950 Win=65535 Len=0"
"1210","98.300191","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1211","98.300219","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=18950 Ack=26652 Win=65535 Len=0"
"1212","98.302630","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1213","98.302852","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=26652 Ack=19149 Win=65535 Len=0"
"1218","98.405008","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1219","98.447763","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19149 Ack=27055 Win=65535 Len=0"
"1222","98.603057","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1223","98.603077","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19149 Ack=27394 Win=65535 Len=0"
"1224","98.708846","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1225","98.709278","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=27394 Ack=19364 Win=65535 Len=0"
"1226","98.743865","10.0.2.15","149.154.167.99","TLSv1.2","171","Application Data"
"1227","98.744191","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=27394 Ack=19481 Win=65535 Len=0"
"1228","98.800044","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1229","98.800078","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19481 Ack=27539 Win=65535 Len=0"
"1230","98.823271","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1231","98.823301","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19481 Ack=27652 Win=65535 Len=0"
"1237","99.359252","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1238","99.359818","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=27652 Ack=19680 Win=65535 Len=0"
"1239","99.475468","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1240","99.475507","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19680 Ack=27765 Win=65535 Len=0"
"1243","99.477695","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1244","99.477941","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=27765 Ack=19879 Win=65535 Len=0"
"1245","99.576925","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
